昵称,性别,时间,点赞,评论,IP属地,二级评论条数,二级评论等级,uid,rpid
弟幺六,保密,2024-11-13 07:39:59,0,,辽宁,59,回复 @偏微分不是发型名称 :没事，不会有完全相同的时间线[doge],3,3546717140028044,247004577344
LARD咕咚,女,2024-11-13 09:15:50,1,,湖北,59,我倒真希望能回到2018年，能回去就太好了,6,224244304,247010929584
啦啦啊啦啦噜呀,保密,2024-11-13 10:46:59,0,,广东,59,哈哈哈哈哈,4,1465854740,247018565136
某夭,保密,2024-11-13 11:01:43,0,,陕西,59,回复 @偏微分不是发型名称 :[热词系列_知识增加],5,454817864,246704032609
谎言之躯丶,保密,2024-11-13 22:38:12,0,,贵州,59,回复 @偏微分不是发型名称 :能不能说点好听的，看到你这评论，心里抽了一下[大哭][大哭],5,479725376,246739582369
骑马踏遍十四州,保密,2024-11-14 05:18:30,0,,江西,59,我也想回2018年，回到疫情之前。这几年心都沧桑了。,5,472724424,247079558768
Barritach,男,2024-11-15 05:35:39,0,,广西,59,回复 @偏微分不是发型名称 :你他喵的，不行！,6,263794389,246843471793
师父啥时候到站,保密,2024-11-18 12:53:44,0,,山东,59,回复 @偏微分不是发型名称 :叉出去！不许乱说,5,498739947,247460707504
正义使者在人间_,保密,2024-11-15 01:45:58,17,风雪压我两三年，我笑风轻雪如棉,广东,0,,3,3546709443480515,247148070608
早睡早起的大花猫,保密,2024-11-16 01:25:22,3,杜甫要是有子柒十分之一能干，茅屋也不会被风吹成那样[笑哭][笑哭][笑哭],上海,0,,5,21145599,246908572449
秦泽,保密,2024-12-06 06:53:43,11,满族🐗皮？🤔,广东,0,,6,403249794,248558112673
时崎狂三yu,女,2024-11-12 16:21:10,3,三年了，你知道这三年我是怎么过来吗[大哭][大哭][大哭][大哭][大哭],内蒙古,0,,6,225915743,246964013936
海贼己,保密,2024-11-12 14:55:02,3,种桃道士归何处，前度李郎今又来！[歪嘴],山东,0,,4,479885801,246956925568
设计易猝死,保密,2024-11-12 14:50:33,3,仿佛回到了疫情前我还不是毒妇的时候,贵州,0,,6,3425011,246956476288
杰克爱穿jk,女,2024-11-12 12:08:19,3,归来仍是顶流，欢迎回来！！！,广东,0,,6,70416240,246942707024
吡嗪g,保密,2024-11-12 10:00:28,3,乡村振兴有希望！！！！,湖南,0,,5,485808312,246932157984
茶香敬客,保密,2024-11-21 07:22:15,20,因为衣帽间这件衣服被好多人扣帽子，而且一顶比一顶大，汉奸言论都出来了，就离谱。还有人说能复出是因为京圈的遗老遗少的支持，新华社和央妈的力挺是一句不提，气笑了。,四川,2,,4,2065383536,247684900480
鍾子期与俞伯牙,男,2024-11-22 08:40:46,9,,广东,2,知道剃发易服吗,6,17732309,247773777952
77你大胆的往前走,保密,2024-11-26 13:52:06,4,,上海,2,回复 @鍾子期与俞伯牙 :知道啊，你们汉服JC除了这个还能换点别的吗?要是觉得不适你就实名举报李子柒，要不敢就去别的地方狗叫。,6,8491951,247781575633
HANA_已不存在,女,2024-11-12 09:01:24,3,姐姐，想你！！！,四川,0,,6,37621808,246927942608
风来无沙,保密,2024-11-12 09:03:46,3,估计要连发好多视频了，满意了[打call],福建,0,,5,667523079,246616572801
仙客王二,保密,2024-11-12 09:00:34,3,第一,贵州,1,,5,43182854,246616299233
仙客王二,保密,2024-11-12 09:00:54,0,,贵州,1,欢迎回归,5,43182854,246616411073
一觉睡来成为宇宙首富,保密,2024-11-12 09:15:05,55,还有吗,山东,0,,5,333122638,246928891536
殿春簃,保密,2024-11-12 23:23:50,70,看过不少传统工艺相关视频，子柒的工艺技术或许不是最高的，但她的视频却是观感最好的。没有解说科普，没有说教劝导，没有上价值，只有认认真真的做事的人和自然的美景以及白噪音，观众现实生活中本身就很累了，只用安静欣赏就好了,安徽,2,,6,170026172,246661209105
虾扯蛋炒饭,保密,2024-11-13 13:10:41,6,,广西,2,后期剪辑的功劳，因为实际上操作这些没那么简单的,5,512925506,247030757536
这2022,保密,2024-11-18 04:35:53,0,,广东,2,自然,5,3493095813417130,247424283488
往来无白盯,保密,2024-11-12 18:55:13,10,"等了三十分钟，终于从777.4等到了这个数字,李子柒不愧是李子柒[打call][打call][打call]",江西,3,,5,476031835,246970401536
白凸出,男,2024-11-13 04:07:43,0,,广东,3,历害,6,17736610,246990161712
_MaxDong_,男,2024-11-13 15:31:26,1,,广东,3,现在820W了,5,389646468,247043143440
昨夜星空007,保密,2024-11-13 20:30:56,0,,山西,3,回复 @_MaxDong_ :原来，大家都在截图留念[笑],2,3493270082554342,247055244032
Luna-6104,女,2024-11-13 06:23:18,4,呜呜呜回到了我还不是毒妇的时候,福建,0,,6,389152019,246999973552
竹生江洲,男,2024-11-12 12:52:04,215,华农重新养起了竹鼠，川普当上了总统，李子柒更新了视频。而我的朋友，你还在那个属于你的2018吗,河南,18,,5,599893884,246633969345
耶吒吒,保密,2024-11-12 12:53:28,7,,广东,18,大晚上的你干嘛[委屈],6,32173550,246634167041
克莱因的天,保密,2024-11-12 14:08:59,6,,广东,18,我不在2018了，但没关系，我会走向一直属于我的现在和未来,5,690742832,246952910368
角落里的向阳,保密,2024-11-12 14:10:19,30,,四川,18,不是了，我在这6年里找到了工作，有了自己的房子和小猫，我过得比2018年好。,6,229832678,246952956848
BLSM山海,保密,2024-11-12 15:13:28,8,,青海,18,我上研究生啦，还和2018年的那个他在一起，我很好[给心心],6,207551508,246958536720
木氵01,男,2024-11-12 19:14:28,4,,浙江,18,已经活成了牛马了，离三十岁退休又远了一步,6,323064235,246970776704
喜欢熊出没的小皮孩,保密,2024-11-13 02:22:29,4,,四川,18,我过得比2018年好，毕业了，有存款，自己住，我喜欢现在——2024年,5,691791860,246669041153
bili_90638579,保密,2024-11-13 05:04:47,0,,江苏,18,回复 @克莱因的天 :广东人还真乐观,6,90638579,246680404753
欧阳虾饺,女,2024-11-13 07:35:02,0,,山东,18,我也长大啦,6,13777366,246689295377
林白泽,保密,2024-11-13 08:07:09,0,,安徽,18,考上大学了,6,22254343,247006256960
冷冷冰花,女,2024-11-13 12:38:38,14,,湖南,18,不在了，这几年，我经历了太多太多，友情破碎，亲人离世，经济困难，人生低谷。2018年，那个时候的我刚中考完，考上了最好的高中，以为一切都会朝着好的方向发展，但是2021年，我高考却失利，家里经济也十分困难。2024年，我的父亲离世，这让我重新思考了人生。3年又3年，岁月流转，如今，没有一个人陪在我身边。曾经以为的好朋友都因为各种原因不在身边，也许人生注定是孤独的。现在的我大四，正在找工作，等进面试的通知。不知道未来会怎么样，可是只有自己知道，这一路走来，究竟有多么辛苦。,5,400375747,247027979776
三叶虫虫,保密,2024-11-13 15:41:39,2,,北京,18,2018年我和一个曾经执念的人绝交，回国入错坑痛苦了两三年后来离开了执念的学术圈换了赛道，现在有了一个可爱调皮的女宝宝[给心心],6,42763652,246727322929
吉吉国王10,保密,2024-11-15 02:26:03,1,,山东,18,回复 @角落里的向阳 :是呢，不是2018了，但我过得比2018好太多，有了一个基因突变比家里人都好看的孩子，生活平稳顺心，比2018要美好太多了,2,3546725096622987,246829543281
吉吉国王10,保密,2024-11-15 02:28:17,2,,山东,18,回复 @冷冷冰花 :没办法告诉你不苦，只能告诉你我曾经在苦难的生活中煎熬了十几年，要钱没钱要爱没爱，每天的形象像乞丐。可是不放弃，最终还是有现在的幸福生活。加油吧，说再多的话，也只能汇成一句，人生需要自渡,2,3546725096622987,246829681041
柴源滚滚来吖,女,2024-11-15 03:38:38,1,,河南,18,不是了，由三口之家变成了单亲妈妈，也换了新工作和新环境,5,380919932,247155491120
平安健康爱米粒,保密,2024-11-15 07:31:50,0,,山西,18,我有了孩子，没有了自己,2,1193176230,247172518864
独鹤归晚,女,2024-11-15 18:56:22,0,,河南,18,2018我刚上大学，现在毕业两年有一份稳定又满意的工作了，现在正在攒钱准备买一套属于自己的小房子[鼓掌],5,393103315,247223226736
赶时髦的阿姨,保密,2024-11-17 02:15:31,0,,河南,18,不是了，重大改变，身份转换，换了工作，换了城市。,2,3546571008379771,246999623281
bili_57466738860,保密,2024-12-02 15:09:01,0,,广东,18,我走过了2018，回到了我的家乡广东，和家人在一起，也即将和另一半结为伴侣,5,505417548,248665016992
诺一young,男,2024-11-13 02:00:56,265,看了一下油管评论，太夸张了。。。从没看到过这般情景，有美国老太太清晨4点看哭的，有65岁日本老太太用谷歌翻译中文感谢的，有台湾同胞认同中华文化的，有非洲的，有东南亚的，全世界大和平在这里实现了。。。她就是这个赛道的当之无愧的断档goat,云南,4,,4,3546374129846622,246981578640
007就不是我,男,2024-11-13 08:47:51,14,,江西,4,子柒油管的评论一直那么世界和平！,4,237785105,247008909632
水中一点云,男,2024-11-14 01:22:19,17,,广东,4,油管那边的评论只有在她的视频里才能实现世界大和平，停更三年还能涨粉五百万不是开玩笑的,4,1313747782,246745401745
敏家小臭蛋,保密,2024-11-14 01:27:15,0,,江苏,4,请问国内怎么上外网，急死,3,3546384040987535,247063166544
隔壁的玩偶,保密,2024-11-14 04:36:34,0,,日本,4,回复 @敏家小臭蛋 : 我能看[吃瓜],5,431888656,246757993521
a_pple_,保密,2024-11-12 09:49:33,201,她在分享她的诗意她的力量她的爱意，某些弹幕：就缺个男主人了。哈！,上海,15,,6,652451,246619596065
无限的克莱因,保密,2024-11-12 09:50:53,1,,安徽,15,这有啥？？,6,28236539,246931474960
腻嘛食惹,保密,2024-11-12 10:45:07,47,,上海,15,不知道怎么言说，看她和嬢嬢一起搭建，白天到日落黑夜，感觉好感动,5,22475297,246623969537
dytruytroyi,保密,2024-11-12 12:20:45,85,,湖南,15,上不了台面的low货是这样的，以前就这样了，没办法改变的,6,15162211,246943870080
普通人君君,保密,2024-11-12 12:47:17,46,,四川,15,回复 @无限的克莱因 :不觉得很煞风景吗，视频在呈现一种美好诗意的生活，说这种话就很俗啊,6,225259723,246945956352
中东土豪请我喝骆驼奶,保密,2024-11-12 13:17:53,23,,陕西,15,谁能配的上她？,5,627035707,246948470432
无限的克莱因,保密,2024-11-12 13:28:49,5,,安徽,15,回复 @普通人君君 :也没怎么俗，那些特别帅的男明星不也总被女粉丝说老公吗？一个说缺一个男主人，一个直接就想当老婆了，这有啥的？难道看李子柒的视频还要品着茶谈论风雅吗？不就是因为咱们是大俗人，所以才喜欢看她的吗？,6,28236539,246949334688
巷陌秋风,男,2024-11-12 13:55:27,58,,山东,15,回复 @无限的克莱因 :因为有些明星本身贩卖的就是性幻想（尤其是爱豆)，她又不是明星，不能这样比较。另外，这种说法本来就是不尊重人。,5,477338352,246639026369
无限的克莱因,保密,2024-11-12 14:10:53,1,,安徽,15,回复 @巷陌秋风 :真要能找一个优秀的，又不是什么坏事,6,28236539,246952876528
巷陌秋风,男,2024-11-12 14:11:12,23,,山东,15,回复 @无限的克莱因 :别回了我了。,5,477338352,246640444305
山海阳明,保密,2024-11-12 15:22:18,0,,湖北,15,缺个她爱并且爱她的男人！[脱单doge],5,1975244881,246646501041
Wniike,男,2024-11-12 16:16:02,6,,四川,15,你楼上，适当出现个男人做体力活....,6,10132620,246963695856
普通人君君,保密,2024-11-13 01:10:45,16,,四川,15,回复 @无限的克莱因 :因为那些明星就是卖这个的，李子柒视频的卖点是这个吗？,6,225259723,246978926560
我一定要果敢一点,保密,2024-11-13 15:26:58,13,,浙江,15,回复 @无限的克莱因 :因为她什么都不缺 已经很圆满了 别以为是女生一定要有个所谓的男朋友 自身的圆满才是正真融洽,6,315999179,246726210081
Cyan_默言,女,2024-11-14 11:25:51,8,,上海,15,这种人估计还要狡辩说是祝福她，其实他在说这句话时内心绝对是在yy自己靠嫁娶制度来占有、享受子柒独自努力做出来的成果[辣眼睛]。,6,23084087,247105526048
w1327144990,保密,2024-11-17 13:06:01,0,,江苏,15,她有种力量，她不缺任何人，如果将来她结婚了，希望是单纯的因为爱情并支持她的人。,2,8771780,247049395681
白鼠之魂,男,2024-11-12 14:59:13,132,还是子柒的视频看着舒服，不给你讲什么古法、传承、纯手工，也不说什么多难多难，用多久多久，就看我想做什么，怎么做出来，看的舒心，没有心理负担,广东,2,,6,5247823,246957371792
木氵01,男,2024-11-12 19:16:34,3,,浙江,2,但如果后期吃饱了能开源的话我会更佩服，现在继续吃我能理解,6,323064235,246970823152
清纯女高周阴婷,保密,2024-11-13 13:46:21,2,,未知,2,看到c位那件满装就舒服不起来了,4,3461567213472634,247033795840
尽余欢er,保密,2024-11-12 15:00:47,117,川普当总统，华农拍竹鼠，李子柒更视频，这是回到过去，这是没被疫情夺走的时间[大哭][大哭][大哭],河南,3,,6,59386847,246957492352
兰舟444,保密,2024-11-12 15:01:03,5,,河北,3,蕾姆了。。,5,1742643319,246957500464
天地有清霜,女,2024-11-12 17:30:20,2,,湖南,3,这个评论真的让人感动又恍惚,5,353979059,246654554385
隔壁家小孩孩,男,2024-11-13 00:34:56,11,,内蒙古,3,这是2018，实验室猴子🐒又跑了,6,38318189,246663621649
暒恸,保密,2024-11-12 11:06:40,64,7：12秒，新手容易被卷尺打到，这种拿法绝对不是新人，一看就是被打过。,浙江,6,,6,148721402,246937636480
Timelessness゚,保密,2024-11-12 13:50:21,13,,安徽,6,卷尺太锋利了，一下就一个大口子[笑哭],6,47229797,246638613057
风花朵,男,2024-11-12 14:33:25,0,,广西,6,是这样的,5,303509590,246642409665
天妇罗大模王,保密,2024-11-12 16:16:16,2,,上海,6,估计有人指导的，新手拉尺会收尺不会还容易割刀手，我就被割过，收尺太快。,6,21083772,246650536289
番茄小土豆q,保密,2024-11-12 22:19:47,12,,北京,6,回复 @天妇罗大模王 :干活的麻利劲儿是指导不出来的，应该是生活的历练,5,625679479,246659938737
牛咋上天啦,保密,2024-11-13 01:19:59,4,,安徽,6,你以为的李子柒 拍拍片段，剪剪视频，刷刷手机📱实际上的人家除了上天入海手搓核弹不会干的之外，很多东西都会，甚至要预言以后她的视频会变成后人文化考古，以及文化传承发扬的课程,4,3494354490493612,246979474304
子灬亦非鱼,男,2024-11-15 18:15:55,0,,江西,6,剖竹子的手法一看就不是新手,6,6353982,246897876753
康哉乾坤,保密,2024-11-19 14:24:12,12,我就想说，人家穿个民族服饰怎么了？就允许别人穿宋制汉服，明制汉服，怎么到了清汉服就不管了？就允许有苗服，真是人红是非多,浙江,8,,3,1963310850,247213840337
妖风从那边吹来,保密,2024-11-19 16:54:03,18,,广东,8,回复 @神原若音 :爱新觉罗玄烨是狗，说了。现在你可以去外网怼日韩越么，你们完全可以把气出在那些偷中国文化的人身上，而不是来指责同胞，是被pua惯了么？,6,237298872,247225829553
MagicC丶,保密,2024-11-20 12:09:50,3,,山东,8,回复 @妖风从那边吹来 :同胞拖后腿了怎么办[大哭]她穿的才是汉服，交领右衽是越南的[辣眼睛],6,8108732,247624304592
闲敲棋子落灯花-UV003,保密,2024-11-21 02:03:14,8,,安徽,8,清汉服是什么东西？哪里存在清汉服这种东西？在清朝穿汉服要被🈵清酋长沙头的你知道吗？她视频里的是清民女装，除了满人旗女都穿这个，那可不是汉族服饰,6,86026721,247663434560
m梦鸽,保密,2024-11-21 08:21:36,2,,山东,8,回复 @妖风从那边吹来 :想骂满人滚回自己圈子，别在这里发癫,3,3546722418559460,247346091041
群聊收集者,男,2024-11-22 14:23:03,4,,山东,8,不用管，一群🐶罕见企图分裂中国,3,3461575648217465,247455977633
豆豆珩,保密,2024-11-23 05:07:51,4,,北京,8,回复 @圆形走位 :李子柒说它是汉服了？都是中华民族的服饰！少在这企图搞民族分裂！,6,17961709,247847675072
小牛要生活,保密,2024-11-23 06:43:57,4,,广东,8,回复 @圆形走位 :是清民女，实际是清鞑女装，当时不分汉少都得穿的奴役服饰,4,1315197240,247854711936
o-orm,保密,2024-11-23 12:08:22,3,,广东,8,回复 @小牛要生活 :你祖宗山里野人我是知道的,5,2113030034,247881138992
邪惡的蛋炒飯,男,2024-11-12 15:20:39,7,Youtube，2000万粉丝了！！！,福建,0,,6,23135392,246646305553
-木头-12,保密,2024-12-05 06:11:20,4,李包衣,江苏,0,,5,1055756908,248882882672
汉莫拉比官方账号,保密,2024-11-16 15:35:31,6,谢谢李子柒向世界传播了美丽的旗装！提升了中国的形象[打call],上海,0,,4,1185587906,247301972768
老墨咖啡馆,女,2024-11-12 15:45:15,8,05:13  05:14 这一幕好美啊,上海,0,,6,11828084,246648300785
云いぬ,女,2024-11-12 14:18:28,107,感觉李子柒一回来，长视频的时代就回来了，b站的味儿就回来了[大哭][大哭][大哭],江苏,1,,6,440517733,246953711216
酸汤大鲫鱼,保密,2024-11-12 15:01:14,6,,重庆,1,长视频的一块净土,5,1489799555,246644551537
挖掘机炒青菜,男,2024-11-12 11:46:01,90,看到弹幕一个说的，华农开始抓竹鼠，柒姐开始捣动房子，川普任选，一切的一切，恍如昨日啊,辽宁,1,,6,282535605,246941059088
-踏雪無痕-,保密,2024-11-12 13:02:16,7,,广东,1,又一个轮回[doge],5,303495728,246947285808
Dreemmrr,保密,2024-11-12 19:00:44,5,好家伙，这粉丝数，截图了,广东,1,,6,452159509,246970486048
_MaxDong_,男,2024-11-13 15:31:39,0,,广东,1,现在826W了,5,389646468,247043149424
Akie-Elysia,男,2024-11-12 18:55:37,2,777.7万粉丝，真的是柒啊[星星眼],山东,0,,5,252295786,246657205601
布口袋,保密,2024-11-12 18:55:23,4,正好7777[OK][OK],湖南,0,,6,6207059,246657203297
耍猴达人李春芳,保密,2024-11-14 17:28:58,14,"烟笼寒水月笼沙，,夜泊秦淮近酒家。,商女不知亡国恨，,隔江犹唱后庭花。",上海,0,,6,14880194,246813930081
映888,保密,2024-11-12 09:07:33,313,没人能取代你的位置，归来你仍是第一,广东,14,,3,3546373796399399,246616759681
-粥星星-,保密,2024-11-12 09:10:40,7,,湖南,14,现在九月好像更火了,6,518230109,246928534720
bururnb,女,2024-11-12 09:16:03,70,,山东,14,回复 @-粥星星- :九月我也很喜欢！但是感觉子柒还是有先天优势的，周围的土地水源天空都能拿来利用。他们两个算是各有优势，九月的做法更年轻一些，也很妙！子柒是真的接受身边万物的灵气，做的东西会沉淀更久一些，所以更能让人沉下心来感受。九月确实是很好的把自媒体平台和子柒这样的风格结合起来，这几年做的也特别好。她们两个我觉得就是这个口味吃腻了就换另一个～都是很棒的姑娘!,4,1113802572,246617343793
゙゙゙毛茸茸拯救世界,保密,2024-11-12 09:18:37,33,,广东,14,回复 @-粥星星- :李子柒依旧很火，刚刚发的第一个视频在微博已经500万播放量了,6,34071901,246929013200
悠哉h,男,2024-11-12 09:18:44,7,,河南,14,回复 @-粥星星- :不用比，都喜欢,6,259612555,246617616993
天国的小喵,男,2024-11-12 09:21:49,1,,辽宁,14,回复 @-粥星星- : 九月是谁 B站有账号吗,6,917272,246617866433
麦田里的偏执者,保密,2024-11-12 09:23:07,0,,广东,14,回复 @天国的小喵 :江寻千,6,75043622,246929471600
LY-小雷子,保密,2024-11-12 09:39:06,9,,河南,14,全平台热搜，不亏是你啊,5,353011229,246930567600
jgszyfsjqf,保密,2024-11-12 09:46:12,4,,湖北,14,回复 @-粥星星- :一开始我也常看她的，但是冰龙直播之后，我就再也没看过了。,6,102905601,246931093568
愚者先生,男,2024-11-12 10:03:25,15,,上海,14,回复 @-粥星星- :九月现在b站也才400w，lzq断更三年还留着700w,6,20298180,246620634033
As丶她的梦,男,2024-11-12 10:55:47,3,,上海,14,回复 @-粥星星- : 两个都很厉害，很多传统文化宣传都做的很好,5,27923912,246936760496
木叶风槿,保密,2024-11-12 11:50:52,9,,上海,14,九月我也喜欢，但是不知道为什么李子柒更对我的点，我真的等啊等啊，隔段时间刷眼看看，终于等到了[大哭][大哭][大哭][大哭],4,286282560,246629227041
阿莉埃蒂的小宇宙,女,2024-11-12 12:36:40,3,,河北,14,这个赛道没有代餐,5,108529049,246945018592
毛孩的媽,女,2024-11-12 22:10:26,10,,中国台湾,14,"回复 @-粥星星- :那你要看看在外網的能量，誰能跟上李子柒。,油管現在李子柒的新視頻也訂閱數幾小時內從1900萬變成2000萬，兩隻影片播放量目前快超過B站了…[笑哭],那邊有世界各國的留言，看得很感動。",6,210863241,246973263408
毛孩的媽,女,2024-11-12 22:18:01,15,,中国台湾,14,"回复 @bururnb :我也偶爾看九月，但可能是風格源自李子柒，但她缺少了點李子柒那種勞動時的順暢感，而且很多視頻明顯的有唸台詞的感覺，所以少了那種沉浸感吧！所以我沒有一直追她的視頻。,但九月也是很努力很棒的女孩，希望她能越來越好。",6,210863241,246973322640
百合浪人,保密,2024-11-18 09:16:52,7,Mandarin,江苏,0,,4,3546375392332067,247110479233
lapaz言,男,2024-11-18 09:34:48,11,果然是人一火，牛鬼蛇神自然就多了起来。,安徽,0,,5,609213139,247444337440
jerrywonder,保密,2024-11-13 14:13:51,8,钮钴禄·子柒,广东,0,,6,45485982,247036205840
余音绕梁已三日,保密,2024-11-12 17:22:18,276,"之前看过烟台一个专门做抖音培训的头部网红说，李子柒沉静几年，没有红的机会了，网红是有寿命周期的，然后李子柒更新了，观看人数暴涨。,浮躁的社会，奢望宁静生活的人，这个基数，想象过会有多庞大吗？,没有一亿也有八千万，心智上早已根深蒂固认准了李子柒，只要她拍，就有数不清的人会去看。,赌一把，一口气更新两条，这两条视频全网总播放量不会低于10亿，期限一个星期！",广东,18,,5,273758939,246967525264
卡卟乐,男,2024-11-12 17:57:07,15,,广东,18,之前我也担心等子柒回来了会不会就物是人非没热度了 但今天看来她依然是全（内网外网）网顶流 无代餐,6,454037792,246655689681
张昭重,男,2024-11-12 18:31:18,27,,广东,18,它没见过世面，李子柒走红的时候，还没有抖音呢，它这个做抖音培训明显不合格。,6,327513417,246969728512
绿色的楠北,女,2024-11-12 20:40:10,34,,广东,18,在绝对实力面前，流量机制低头了,4,1956710116,246972162624
番茄小土豆q,保密,2024-11-12 22:15:35,18,,北京,18,太浮躁了眼里只有流量和利益，导致目光短浅，怎么会有正确的判断,5,625679479,246659804033
远山的梦想,保密,2024-11-13 00:32:51,7,,湖北,18,只能说柒姐太强，沉寂多年，归来仍是王者，仍是顶流。,5,1615357348,246977064288
子柒归来,保密,2024-11-13 01:22:12,1,,新疆,18,插个眼，一周后来看有多少[打call],5,2063956676,246665750145
疯越无闩,保密,2024-11-13 01:29:16,36,,福建,18,有质量的视频才能存活长久，毕竟有些树能长青，而昙花只能一现,5,472925276,246666188689
鬼舞十七,保密,2024-11-13 01:36:54,14,,湖南,18,这话我听过差不多了  说是带英不会脱欧  川普不会上任  [抠鼻],6,373343,246980323136
今天吃肥肠了嘛,保密,2024-11-13 02:15:39,1,,北京,18,回复 @疯越无闩 :他们连昙花都算不上[doge],5,17922573,246982396976
告别过去,男,2024-11-13 02:33:22,17,,广东,18,回复 @张昭重 :抖音培训，对于一般网红，这说法是成立的，但子柒不是，子柒是无数人心中的精神图腾。,6,153102,246983542144
bili_93867667526,保密,2024-11-13 05:00:58,7,,海南,18,网红分两种，一种是拿自己做卖点，一种是拿作品赢人心，哪种寿命会更长我想你们都懂,5,1737638358,246679996337
shirly_001,保密,2024-11-13 05:38:38,1,,浙江,18,没办法，她的作品是在太好了，质量遥遥领先[给心心],4,515030767,246682530577
阿水80522,男,2024-11-13 06:19:53,0,,黑龙江,18,烟台大网红？ 小白牙？,5,482597557,246685074449
于三快2333,保密,2024-11-13 09:45:50,1,,陕西,18,回复 @张昭重 :@张昭重 不是不合格，是他的思维有路径依赖，现实也是劣币在总体上驱逐良币，尖子总是极少数但尖子总会脱颖而出。打个比方现在流水线制造偶像练习生大行其道。天才形歌手与环境造就的歌手这种可遇不可求的看起来反而有些少。但是到最后谁会身与名俱灭，谁会江河万古流自有公论。,5,652624444,247013150976
老鹰四十,保密,2024-11-13 14:24:40,0,,湖南,18,哈哈，短视频理利益追逐者怎能明白好东西其实能长久，他们不太清楚为什么董宇辉会红，更无法理解李子柒的强势归来,5,1663683335,247037166112
谎言之躯丶,保密,2024-11-13 22:41:49,3,,贵州,18,"她回来了，依然是顶流，但我觉得她已然不是“网红”了，她有了沉淀，有了社会责任感，有了共情，有了担当……,很开心她回来了……真好",5,479725376,246739782241
笙箫慢,保密,2024-11-14 03:44:43,0,,山东,18,人造的灯火怎敢与皓月争辉呢,5,11112961,246753943873
余音绕梁已三日,保密,2024-11-17 07:14:16,0,,广东,18,回复 @阿水80522 :不是,5,273758939,247351155248
这号废了鸭,女,2024-11-14 00:58:55,7,穿一套还挂一套，啥意思，ruan广？,云南,0,,6,3897802,247061686112
海洋黑复,保密,2024-11-13 06:55:52,23,其实地板下面铺层白石灰，可以杀虫和减少返潮，对于衣帽间很友好,河南,1,,5,1814279624,247001864160
那我可真棒,男,2024-11-13 07:04:33,0,,四川,1,哇还可以这样,5,490025669,246687554641
方块倒闭我改名,保密,2024-11-17 01:32:01,3,11.7仍有1000+，李子柒值得[大哭],江苏,1,,4,3494368807750564,246996857761
也许一切都还来得及,保密,2024-11-17 02:29:45,0,,甘肃,1,现在11.17还有1000+[打call][打call],5,481225464,247000565361
盛夏花不開,保密,2024-11-12 19:08:13,10,我在YT看到通知.趕快來B站看一下..[打call][给心心],中国台湾,0,,5,404520203,246970531840
天生刺猬tor,男,2024-11-12 11:16:52,84,真的太能干了，任何一个步骤其实都很累[保卫萝卜_哭哭],贵州,12,,6,18119314,246938527392
古栗欧克,保密,2024-11-12 17:59:55,5,,广东,12,有团队一起干的，不是一个人盖。,6,106581508,246968853136
修改昵称无响应,保密,2024-11-12 20:20:50,15,,广东,12,回复 @古栗欧克 :这动手能力一般网红还真搞不了,6,7177794,246658564449
故江,男,2024-11-13 01:34:49,9,,上海,12,壮汉都得累趴下，更别说保持优雅[doge_金箍],6,5249198,246666503585
zxf5800,保密,2024-11-13 01:43:17,12,,吉林,12,应该属于全程参与，自己工程量太大了,6,45541070,246666966369
天生刺猬tor,男,2024-11-13 01:43:35,3,,贵州,12,回复 @古栗欧克 :也很不错了其实,6,18119314,246980630816
菲宝还是菲包,保密,2024-11-13 02:51:41,16,,陕西,12,回复 @善良的北 :李子柒那种干活的样子摆拍不出来的，就算有团队也不是什么事,6,2828053,246670621457
梦兮Lord,保密,2024-11-13 08:19:10,4,,辽宁,12,回复 @古栗欧克 :以前不是说她团队加上她就三个人嘛？她自己，➕一个助理，➕一个摄像。现在不知道了,5,401037022,247006947520
随心的大西瓜,保密,2024-11-13 08:26:02,8,,广东,12,回复 @古栗欧克 :那不是废话吗 你这辈子做什么事都一个人干完啊,5,130842234,247007416304
你站快点出tag屏蔽功能,保密,2024-11-13 14:58:39,6,,江苏,12,回复 @善良的北 :很多纪录片也是摆拍啊，有什么问题吗，至少人家真能做出来啊,6,118610508,247040272688
毛桃和元宝,女,2024-11-13 15:17:54,1,,云南,12,回复 @善良的北 :你又知道了,6,21382799,246725400385
小牧牧0401,保密,2024-11-13 16:19:15,14,,安徽,12,回复 @古栗欧克 : 团队压根就不是黑点，有时候开玩笑说她是电锯甜心，那么多工具，不花功夫你都整不明白的，哪有那么容易摆拍。拿电锯干活手稳到不行，还有那个片锯，估计很多人这辈子都没摸过，姑娘家拿这玩意锯木头能拉得动就算很NB了。真不是开玩笑，李子柒这个路子，真心很难有人能复制。。。,5,324249480,246730072305
古栗欧克,保密,2024-11-13 16:47:52,0,,广东,12,回复 @小牧牧0401 :没有黑啊,6,106581508,247048800320
泪中有阳光,女,2024-12-14 16:08:10,1,[热词系列_干杯]12.14号 恭喜子柒B站突破一千万粉丝！（仅146个视频）[热词系列_神仙UP],未知,0,,6,51606121,249708356752
小鱼小鹿,女,2024-11-12 11:19:28,24,微博说还在剪[猫你太美_哭]过年了简直,江苏,1,,6,8609697,246626747185
贝塔白白,保密,2024-11-12 14:47:19,0,,云南,1,那是真的厉害,6,521662903,246956285808
